zone_id,timestamp,consumption_kwh,temperature_c,humidity_percent
Zone_1,2025-01-01 00:00:00,3.08,24.4,56.4
Zone_2,2025-01-01 00:00:00,1.91,31.4,52.0
Zone_3,2025-01-01 00:00:00,2.05,22.6,48.8
Zone_4,2025-01-01 00:00:00,2.01,27.3,62.7
Zone_5,2025-01-01 00:00:00,1.5,23.6,56.5
Zone_6,2025-01-01 00:00:00,2.51,24.2,59.6
Zone_7,2025-01-01 00:00:00,1.02,32.0,66.5
Zone_8,2025-01-01 00:00:00,1.49,28.6,75.5
Zone_9,2025-01-01 00:00:00,1.53,22.5,62.4
Zone_10,2025-01-01 00:00:00,1.57,21.6,58.0
Zone_1,2025-01-01 01:00:00,2.54,19.2,63.1
Zone_2,2025-01-01 01:00:00,1.81,27.5,54.0
Zone_3,2025-01-01 01:00:00,1.68,16.0,48.7
Zone_4,2025-01-01 01:00:00,2.12,27.0,58.3
Zone_5,2025-01-01 01:00:00,2.24,26.5,64.0
Zone_6,2025-01-01 01:00:00,2.69,17.1,49.2
Zone_7,2025-01-01 01:00:00,1.87,25.1,48.3
Zone_8,2025-01-01 01:00:00,1.11,26.1,53.4
Zone_9,2025-01-01 01:00:00,1.57,18.7,69.9
Zone_10,2025-01-01 01:00:00,2.59,19.5,71.4
Zone_1,2025-01-01 02:00:00,3.31,21.7,83.1
Zone_2,2025-01-01 02:00:00,1.06,19.8,48.1
Zone_3,2025-01-01 02:00:00,2.89,21.4,69.1
Zone_4,2025-01-01 02:00:00,2.53,23.3,54.5
Zone_5,2025-01-01 02:00:00,2.76,30.7,62.8
Zone_6,2025-01-01 02:00:00,2.29,25.7,71.6
Zone_7,2025-01-01 02:00:00,2.53,26.7,50.0
Zone_8,2025-01-01 02:00:00,1.89,21.5,68.7
Zone_9,2025-01-01 02:00:00,2.59,24.8,71.2
Zone_10,2025-01-01 02:00:00,2.36,26.7,61.3
Zone_1,2025-01-01 03:00:00,3.1,24.1,57.1
Zone_2,2025-01-01 03:00:00,1.07,20.8,71.3
Zone_3,2025-01-01 03:00:00,0.77,33.9,74.1
Zone_4,2025-01-01 03:00:00,1.85,22.7,50.3
Zone_5,2025-01-01 03:00:00,2.73,20.2,52.0
Zone_6,2025-01-01 03:00:00,3.23,30.4,44.6
Zone_7,2025-01-01 03:00:00,2.0,28.2,52.4
Zone_8,2025-01-01 03:00:00,2.8,30.8,73.0
Zone_9,2025-01-01 03:00:00,2.01,23.2,58.7
Zone_10,2025-01-01 03:00:00,1.6,19.7,63.2
Zone_1,2025-01-01 04:00:00,2.44,22.8,84.3
Zone_2,2025-01-01 04:00:00,1.89,21.5,49.7
Zone_3,2025-01-01 04:00:00,1.73,15.9,54.1
Zone_4,2025-01-01 04:00:00,2.38,27.7,52.8
Zone_5,2025-01-01 04:00:00,1.96,21.2,59.7
Zone_6,2025-01-01 04:00:00,1.88,17.8,58.6
Zone_7,2025-01-01 04:00:00,1.03,29.9,63.8
Zone_8,2025-01-01 04:00:00,2.57,25.9,64.1
Zone_9,2025-01-01 04:00:00,1.63,27.1,82.9
Zone_10,2025-01-01 04:00:00,2.53,32.9,52.7
Zone_1,2025-01-01 05:00:00,2.01,28.7,60.0
Zone_2,2025-01-01 05:00:00,1.27,29.6,57.4
Zone_3,2025-01-01 05:00:00,1.33,15.6,57.1
Zone_4,2025-01-01 05:00:00,1.68,22.2,61.7
Zone_5,2025-01-01 05:00:00,1.78,27.1,72.4
Zone_6,2025-01-01 05:00:00,2.49,22.5,51.3
Zone_7,2025-01-01 05:00:00,1.84,18.5,58.5
Zone_8,2025-01-01 05:00:00,1.58,29.7,59.0
Zone_9,2025-01-01 05:00:00,1.16,32.0,56.8
Zone_10,2025-01-01 05:00:00,1.74,25.3,64.9
Zone_1,2025-01-01 06:00:00,1.51,24.8,45.6
Zone_2,2025-01-01 06:00:00,1.56,31.1,61.9
Zone_3,2025-01-01 06:00:00,1.81,23.2,65.7
Zone_4,2025-01-01 06:00:00,1.93,22.3,51.0
Zone_5,2025-01-01 06:00:00,2.1,34.2,61.5
Zone_6,2025-01-01 06:00:00,2.27,24.7,60.8
Zone_7,2025-01-01 06:00:00,0.96,30.1,56.8
Zone_8,2025-01-01 06:00:00,1.47,28.5,64.9
Zone_9,2025-01-01 06:00:00,1.56,23.3,61.4
Zone_10,2025-01-01 06:00:00,2.06,26.9,75.3
Zone_1,2025-01-01 07:00:00,3.19,22.4,52.3
Zone_2,2025-01-01 07:00:00,3.22,24.8,62.6
Zone_3,2025-01-01 07:00:00,2.72,34.6,31.9
Zone_4,2025-01-01 07:00:00,3.22,20.9,60.5
Zone_5,2025-01-01 07:00:00,3.98,21.2,80.9
Zone_6,2025-01-01 07:00:00,2.24,18.4,61.0
Zone_7,2025-01-01 07:00:00,2.26,13.9,74.1
Zone_8,2025-01-01 07:00:00,3.19,33.3,57.8
Zone_9,2025-01-01 07:00:00,2.33,33.7,44.5
Zone_10,2025-01-01 07:00:00,4.09,27.2,64.7
Zone_1,2025-01-01 08:00:00,2.49,24.2,46.8
Zone_2,2025-01-01 08:00:00,2.45,25.1,56.4
Zone_3,2025-01-01 08:00:00,2.9,23.6,58.1
Zone_4,2025-01-01 08:00:00,2.99,30.5,62.2
Zone_5,2025-01-01 08:00:00,3.23,17.9,65.1
Zone_6,2025-01-01 08:00:00,3.05,21.5,53.6
Zone_7,2025-01-01 08:00:00,2.34,28.8,54.6
Zone_8,2025-01-01 08:00:00,2.83,22.6,49.0
